productId,sellerId,productTitle,minPrice,maxPrice,discount,productPositiveRate,productAverageStar
4000515594633,226859031,Visofree 5D Mink Eyelashes Long Lasting Mink Lashes Natural Dramatic Volume Eyelashes Extension Thick Long 3D False Eyelashes,US $0.01,US $0.01,99,95.9,4.8
4000539506338,232956230,TWS Bluetooth 5.0 Earphones 2200mAh Charging Box Wireless Headphone 9D Stereo Sports Waterproof Earbuds Headsets With Microphone,US $7.59,US $13.69,66,95.4,4.8
32858829839,220153763,women plain bubble chiffon scarf hijab wrap printe solid color shawls headband muslim hijabs scarves/scarf 60 colors,US $0.01,US $0.70,89,95.4,4.8
1005001345374799,239231040,Human Hair Wigs Blonde Lace Front Wig for Women 613 Full Hd Frontal Pre Plucked Glueless Transparent Honey Blonde Straight Wig,US $49.16,US $196.63,55,96.6,4.8
4000980208628,240079534,Curren Watch Top Brand Man Watches with Chronograph Sport Waterproof Clock Man Watches Military Luxury Men's Watch Analog Quartz,US $18.79,US $18.79,53,99.1,5.0
4000033783658,238643948,NAVIFORCE Men Watches Waterproof Stainless Steel Quartz Watch Male Chronograph Military Clock Wrist watch Relogio Masculino,US $30.72,US $31.63,53,98.3,4.9
4000032803909,224266960,Yyong 13x4 Blunt Cut Bob Wig Short Lace Front Human Hair Wigs Remy Brazilian Straight Bob Wigs With Baby Hair HD Transparent Wig,US $42.27,US $101.07,53,91.7,4.6
10000053498585,239679333,LSRC New E68pro Mini Drone Wide Angle 4K 1080P WiFi FPV Camera Drones Height Holding Mode RC Foldable Quadrotor Dron Toy Gift,US $21.59,US $56.16,64,95.1,4.8
1005001280274289,239186647,Highlight Wig Human Hair Lace Wigs Ombre Straight 28 30 Inch Wig Honey Blonde 13x1 Hd Full Highlight Lace Front Human Hair Wigs,US $61.00,US $290.55,51,96.8,4.8
32793775351,230094000,KINGSEVEN Men Vintage Aluminum Polarized Sunglasses Classic Brand Sun glasses Coating Lens Driving Eyewear For Men/Women,US $9.38,US $9.38,65,97.2,4.9
4000397108829,239644207,EASIHAIR Long Straight Wigs with Bangs Black to Brown Ombre Synthetic Wigs for Women Daily Natural Hair Wigs Heat Resistant,US $13.77,US $15.77,56,95.0,4.7
